Reference, Value, Footprint, Datasheet
"U6","YM2149","Package_DIP:DIP-40_W15.24mm_Socket",""
"U1","74HC138","Package_DIP:DIP-16_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74LS138"
"J2","ADDR JP","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","~"
"U5","74HC74","Package_DIP:DIP-14_W7.62mm_Socket","74xx/74hc_hct74.pdf"
"Y1","3.57MHz","Crystal:Crystal_HC49-U_Vertical","~"
"C3","22p","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"C4","22p","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"R7","1M","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R8","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"U3","74HC02","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74hc02"
"J4","SBC8080 BUS","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Horizontal","~"
"R1","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R2","2.2k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R4","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"C5","0.1u","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"C6","0.1u","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"C7","0.1u","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"C8","0.1u","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"C9","0.1u","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"C12","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"U2","74HC00","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74hc00"
"MH1","MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
"MH2","MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
"MH3","MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
"MH4","MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
"R5","2.2k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R6","2.2k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"J1","Audio-Jack-3_2Switches","AJ-1780:AJ-1780",""
"R3","2.2k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"U4","74HC157","Package_DIP:DIP-16_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74LS157"
"U7","74HC157","Package_DIP:DIP-16_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74LS157"
"J3","JOYSTICK1","DSUB:DSUB-9_Male_Horizontal_P2.77x2.54mm_EdgePinOffset9.40mm"," ~"
"J5","JOYSTICK2","DSUB:DSUB-9_Male_Horizontal_P2.77x2.54mm_EdgePinOffset9.40mm"," ~"
"C10","0.1u","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"C11","0.1u","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"RN1","10k","Resistor_THT:R_Array_SIP9","http://www.vishay.com/docs/31509/csc.pdf"
"RN2","10k","Resistor_THT:R_Array_SIP9","http://www.vishay.com/docs/31509/csc.pdf"
"C1","1u","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C2","1u","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
